City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,"San Jose,Bo",-17.9389,-63.3516,overcast clouds,75.0,50,97,10.85,BO,2021-09-20 07:49:31
1,"El Carmen,Co",8.5106,-73.4478,overcast clouds,65.14,97,100,3.58,CO,2021-09-20 07:49:33
2,"Sarangani,Ph",5.4033,125.4636,broken clouds,82.35,70,81,3.38,PH,2021-09-20 07:49:34
3,"Punta Arenas,Cl",-53.15,-70.9167,clear sky,35.71,87,0,6.91,CL,2021-09-20 07:49:35
4,"Mar Del Plata,Ar",-38.0023,-57.5575,overcast clouds,55.42,100,90,4.61,AR,2021-09-20 07:49:10
5,"Rikitea,Pf",-23.1203,-134.9692,light rain,73.51,78,15,15.43,PF,2021-09-20 07:49:38
6,"Nikolskoye,Ru",59.7035,30.7861,overcast clouds,43.02,62,100,11.39,RU,2021-09-20 07:49:40
7,"Tikrit,Iq",34.6071,43.6782,clear sky,94.35,15,0,9.75,IQ,2021-09-20 07:49:41
8,"Albany,Au",-35.0169,117.8917,overcast clouds,61.23,59,90,11.5,AU,2021-09-20 07:49:43
9,"Lebu,Cl",-37.6167,-73.65,clear sky,45.09,87,0,13.82,CL,2021-09-20 07:45:54
10,"Kapaa,Us",22.0752,-159.319,scattered clouds,79.12,74,40,4.0,US,2021-09-20 07:49:45
11,"Bengkulu,Id",-3.8004,102.2655,broken clouds,82.65,72,53,8.63,ID,2021-09-20 07:49:47
12,"Kommunisticheskiy,Ru",61.6789,64.4819,overcast clouds,34.7,84,100,11.88,RU,2021-09-20 07:49:48
13,"Hithadhoo,Mv",-0.6,73.0833,broken clouds,83.71,72,63,9.28,MV,2021-09-20 07:49:50
14,"Arraial Do Cabo,Br",-22.9661,-42.0278,overcast clouds,71.35,89,100,15.12,BR,2021-09-20 07:49:51
15,"Zhigansk,Ru",66.7697,123.3711,scattered clouds,40.37,55,28,5.84,RU,2021-09-20 07:49:53
16,"Hermanus,Za",-34.4187,19.2345,light rain,53.91,68,100,21.12,ZA,2021-09-20 07:49:54
17,"East London,Za",-33.0153,27.9116,broken clouds,61.74,67,75,20.71,ZA,2021-09-20 07:49:56
18,"Cape Town,Za",-33.9258,18.4232,broken clouds,56.88,83,75,8.99,ZA,2021-09-20 07:49:57
19,"Lompoc,Us",34.6391,-120.4579,mist,65.79,89,75,5.75,US,2021-09-20 07:50:00
20,"Geraldton,Au",-28.7667,114.6,clear sky,84.61,21,0,14.97,AU,2021-09-20 07:50:01
21,"Qui Nhon,Vn",13.7667,109.2333,overcast clouds,83.07,77,100,6.91,VN,2021-09-20 07:50:02
22,"Kodiak,Us",57.79,-152.4072,light rain,47.43,89,100,11.48,US,2021-09-20 07:50:04
23,"Jamestown,Sh",-15.9387,-5.7168,overcast clouds,62.22,75,100,17.69,SH,2021-09-20 07:50:05
24,"Roald,No",62.5833,6.1333,broken clouds,58.15,94,75,3.44,NO,2021-09-20 07:50:07
25,"Nome,Us",64.5011,-165.4064,clear sky,33.87,75,1,13.8,US,2021-09-20 07:50:08
26,"Samarkand,Uz",39.6542,66.9597,clear sky,80.02,19,0,6.91,UZ,2021-09-20 07:50:10
27,"Guangyuan,Cn",32.442,105.823,clear sky,81.03,54,0,4.27,CN,2021-09-20 07:50:11
28,"Tauramena,Co",5.0183,-72.7492,broken clouds,68.9,81,80,6.26,CO,2021-09-20 07:50:13
29,"Rusne,Lt",55.2964,21.3758,overcast clouds,48.29,65,92,11.88,LT,2021-09-20 07:50:14
30,"Parati,Br",-23.2178,-44.7131,overcast clouds,71.08,95,93,1.97,BR,2021-09-20 07:50:15
31,"Saldanha,Za",-33.0117,17.9442,overcast clouds,57.25,73,100,22.35,ZA,2021-09-20 07:50:17
