City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Narsaq,60.9167,-46.05,38.28,92,100,6.71,GL,2021-09-18 15:07:03
1,Klaksvik,62.2266,-6.589,54.52,85,100,17.2,FO,2021-09-18 15:07:04
2,Albany,42.6001,-73.9662,77.74,84,37,5.44,US,2021-09-18 15:06:01
3,Busselton,-33.65,115.3333,55.09,85,99,4.99,AU,2021-09-18 15:07:04
4,Saint George,37.1041,-113.5841,79.27,40,1,1.99,US,2021-09-18 15:07:05
5,Kargil,34.5667,76.1,67.66,24,3,3.62,IN,2021-09-18 15:07:05
6,Avarua,-21.2078,-159.775,71.65,83,20,3.44,CK,2021-09-18 15:07:05
7,Lagoa,39.05,-27.9833,66.78,64,100,9.42,PT,2021-09-18 15:07:06
8,Mataura,-46.1927,168.8643,38.48,99,71,3.27,NZ,2021-09-18 15:07:06
9,Margate,51.3813,1.3862,75.06,71,62,7.63,GB,2021-09-18 15:07:07
10,Bluff,-46.6,168.3333,38.8,89,31,10.07,NZ,2021-09-18 15:07:07
11,Grindavik,63.8424,-22.4338,46.87,93,90,16.11,IS,2021-09-18 15:07:08
12,Bredasdorp,-34.5322,20.0403,68.29,66,44,17.31,ZA,2021-09-18 15:07:08
13,Vangaindrano,-23.35,47.6,68.11,63,27,15.88,MG,2021-09-18 15:03:07
14,Vestmannaeyjar,63.4427,-20.2734,51.6,89,100,8.52,IS,2021-09-18 15:07:09
15,Kavieng,-2.5744,150.7967,82.72,78,18,14.88,PG,2021-09-18 15:07:09
16,Ushuaia,-54.8,-68.3,38.86,81,0,0.0,AR,2021-09-18 15:07:10
17,Peno,56.9262,32.7426,48.18,55,100,9.75,RU,2021-09-18 15:07:10
18,Atherton,53.5237,-2.4935,74.16,62,100,1.99,GB,2021-09-18 15:07:11
19,Lata,40.1629,-8.3327,76.05,37,0,12.68,PT,2021-09-18 15:07:11
20,Banjar,-8.19,114.9675,80.46,90,13,6.04,ID,2021-09-18 15:07:12
21,Rikitea,-23.1203,-134.9692,71.26,81,100,10.92,PF,2021-09-18 15:07:12
22,Half Moon Bay,37.4636,-122.4286,60.89,83,90,6.91,US,2021-09-18 15:07:13
23,Tjaereborg,55.4646,8.5797,61.95,82,75,6.91,DK,2021-09-18 15:07:13
